timestamp,gpu_utilization (%),memory_utilization (%),gpu_power_draw (W),gpu_temperature (°C),gpu_fan_speed (%),gpu_clock_speed (MHz),cpu_utilization (%),memory_usage (%),server_power_draw (W),server_temperature (°C),disk_usage (%),network_bandwidth (Mbps)
2025-03-19 22:04:59.495312,88.54,42.96,240.96,83.7,93.54,1674,19.96,80.63,516.39,36.2,25.78,253.88
2025-03-19 22:09:59.495312,52.59,62.3,270.16,77.5,82.23,1440,20.11,42.39,258.32,50.2,47.25,517.27
2025-03-19 22:14:59.495312,72.84,89.6,290.88,52.2,84.99,1029,23.34,31.54,495.39,40.3,94.95,548.09
2025-03-19 22:19:59.495312,44.54,85.03,142.19,59.2,65.9,884,76.7,25.88,466.26,67.7,41.89,381.86
2025-03-19 22:24:59.495312,72.15,10.34,200.79,50.7,35.21,961,29.48,50.35,458.42,74.4,31.8,762.41
2025-03-19 22:29:59.495312,23.43,80.84,236.11,40.2,74.16,1196,76.63,63.54,392.3,70.0,61.21,909.57
2025-03-19 22:34:59.495312,38.4,15.32,149.49,48.5,77.02,1676,53.65,81.86,224.99,53.8,58.94,250.95
2025-03-19 22:39:59.495312,62.08,86.24,220.09,40.2,98.83,1170,74.05,62.2,580.59,58.3,53.72,844.48
2025-03-19 22:44:59.495312,6.63,32.55,151.52,72.4,63.3,1362,54.83,48.69,540.77,72.7,91.0,174.63
2025-03-19 22:49:59.495312,70.02,40.56,166.69,59.1,41.71,1014,35.22,12.68,394.72,54.2,41.01,267.27
2025-03-19 22:54:59.495312,80.2,17.33,188.3,54.1,74.69,800,86.96,83.23,263.43,58.7,42.0,583.34
2025-03-19 22:59:59.495312,40.92,18.98,205.84,74.3,98.35,1782,69.38,82.19,529.79,58.3,30.52,341.25
2025-03-19 23:04:59.495312,45.31,68.14,189.87,77.5,34.18,1176,48.56,40.3,372.27,61.9,72.3,89.63
2025-03-19 23:09:59.495312,81.62,85.55,198.64,83.9,46.08,1211,62.37,12.32,356.05,58.8,44.1,330.13
2025-03-19 23:14:59.495312,74.81,58.86,159.72,68.9,63.35,1434,60.43,68.67,466.15,60.2,80.21,909.63
2025-03-19 23:19:59.495312,30.93,67.27,131.79,60.8,33.62,1599,37.23,73.33,503.47,62.7,92.88,215.51
2025-03-19 23:24:59.495312,34.16,70.96,109.47,53.7,21.78,999,43.14,53.4,225.14,66.4,23.28,775.56
2025-03-19 23:29:59.495312,66.1,31.03,139.2,50.0,46.96,982,33.64,42.23,507.02,48.1,94.48,736.17
2025-03-19 23:34:59.495312,55.69,13.62,216.39,49.6,89.23,1209,94.96,78.09,493.58,63.6,39.06,150.91
2025-03-19 23:39:59.495312,19.6,10.15,257.22,58.4,23.48,1197,57.21,25.4,435.68,34.5,51.51,362.97
2025-03-19 23:44:59.495312,32.89,38.05,133.85,84.6,54.31,1015,13.28,45.16,335.37,69.4,78.33,229.89
2025-03-19 23:49:59.495312,86.0,29.32,121.71,40.0,80.98,1551,51.72,11.96,265.92,43.1,69.9,71.99
2025-03-19 23:54:59.495312,66.94,14.99,249.86,48.9,96.25,1148,9.5,23.12,241.06,48.2,78.38,214.39
2025-03-19 23:59:59.495312,93.74,24.36,161.03,48.5,98.84,1379,30.98,85.27,200.47,66.2,54.97,241.5
2025-03-20 00:04:59.495312,74.03,19.96,290.3,72.3,53.76,1630,45.14,56.25,282.58,58.7,88.71,207.68
2025-03-20 00:09:59.495312,89.78,83.19,242.86,55.9,96.03,1393,53.08,74.45,364.53,43.9,79.25,136.54
2025-03-20 00:14:59.495312,24.46,21.22,165.35,60.6,22.83,1453,92.86,48.92,297.46,40.1,43.19,549.99
2025-03-20 00:19:59.495312,74.43,53.01,157.91,46.7,79.67,1722,93.4,76.79,323.59,73.1,91.14,356.51
2025-03-20 00:24:59.495312,6.82,57.45,204.74,58.2,71.42,840,13.83,53.12,356.18,33.9,92.08,912.84
2025-03-20 00:29:59.495312,65.37,53.48,115.83,44.6,39.96,1550,53.43,10.36,323.3,30.2,51.13,227.85
2025-03-20 00:34:59.495312,47.24,17.92,123.54,64.0,60.59,802,78.54,81.98,489.85,60.3,68.9,622.72
2025-03-20 00:39:59.495312,36.21,35.5,135.17,44.4,30.36,893,26.39,21.89,396.69,57.7,81.11,905.59
2025-03-20 00:44:59.495312,82.62,14.1,254.94,75.6,89.73,858,72.55,46.04,207.73,63.2,81.3,94.83
